sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
1870,1000.0,1024.007688371859,1026.0380355563846,1026.2926354691801,1109.6401417144107,1026.0311111111112
1871,1002.0,1024.5809393950703,1026.0380355563846,1026.1911109424875,1109.7111667271,1026.0311111111112
1872,1002.0,1025.1266713991981,1026.0380355563846,1026.0892199370853,1109.8364183673878,1026.0311111111112
1873,1002.0,1025.6214419068676,1026.0380355563846,1025.9987581257014,1109.9905074743353,1026.0311111111112
1874,1000.0,1026.047236001738,1026.0380355563846,1025.9282852238025,1110.1478810021745,1026.0311111111112
1875,999.0,1026.3916775562302,1026.0380355563846,1025.8826460028158,1110.2863667472539,1026.0311111111112
1876,999.0,1026.647936542308,1026.0380355563846,1025.8630047575937,1110.3897205798266,1026.0311111111112
1877,999.0,1026.8143748256289,1026.0380355563846,1025.8673056478408,1110.4489749161623,1026.0311111111112
1878,999.0,1026.893980440145,1026.0380355563846,1025.8910356801055,1110.4625824978268,1026.0311111111112
1879,1000.0,1026.8936445296536,1026.0380355563846,1025.9281516822473,1110.4355163913654,1026.0311111111112
1880,1001.0,1026.8233361428547,1026.0380355563846,1025.9720359604303,1110.377606771705,1026.0311111111112
1881,1001.0,1026.6952282269538,1026.0380355563846,1026.0163639783943,1110.3014581036641,1026.0311111111112
1882,1003.0,1026.5228239262185,1026.0380355563846,1026.0557966842912,1110.2202965928184,1026.0311111111112
1883,1006.0,1026.3201261632703,1026.0380355563846,1026.086444870384,1110.1460548975817,1026.0311111111112
1884,1005.0,1026.1008859992824,1026.0380355563846,1026.1060882219933,1110.0879223568015,1026.0311111111112
1885,1004.0,1025.8779569714934,1026.0380355563846,1026.1141632782985,1110.0514906173885,1026.0311111111112
1886,1000.0,1025.6627740026238,1026.0380355563846,1026.111559292865,1110.0385230408367,1026.0311111111112
1887,1000.0,1025.4649670286535,1026.0380355563846,1026.1002771504363,1110.0472860796212,1026.0311111111112
1888,998.0,1025.2921115954937,1026.0380355563846,1026.0830135723227,1110.073312670663,1026.0311111111112
1889,1000.0,1025.1496116513856,1026.0380355563846,1026.0627314755409,1110.1104276738104,1026.0311111111112
1890,1000.0,1025.0407038475942,1026.0380355563846,1026.0422690741837,1110.1518547825078,1026.0311111111112
1891,1004.0,1024.966568008192,1026.0380355563846,1026.0240272189635,1110.191240198696,1026.0311111111112
1892,1005.0,1024.9265251123004,1026.0380355563846,1026.0097588799422,1110.2234645387898,1026.0311111111112
1893,1010.0,1024.9183021462734,1026.0380355563846,1026.0004688212991,1110.2451628921797,1026.0311111111112
1894,1013.0,1024.9383424609855,1026.0380355563846,1025.9964172967145,1110.2549251709452,1026.0311111111112
