,observed,trend,seasonal,residual
55,1014.0,1017.3664969136724,-11.653444505435552,8.286947591763102
56,1015.0,1017.4514402741315,-12.357882656597658,9.90644238246613
57,1015.0,1017.5363836345905,-12.94676525220419,10.410381617613696
58,1014.0,1017.6213269950496,-13.422314514477451,9.80098751942788
59,1014.0,1017.7062703555085,-14.341474887861805,10.635204532353269
60,1014.0,1017.7912137159676,-14.925913039023882,11.134699323056267
61,1015.0,1017.8761570764266,-15.39896230129709,12.52280522487051
62,1013.0,1017.9611004368855,-14.983678230236936,10.022577793351392
63,1014.0,1018.0460437973446,-14.013116381399128,9.967072584054504
64,1011.0,1018.1309871578036,-14.263387865894506,7.132400708090918
65,1008.0,1018.2159305182627,-14.399214905945495,4.1832843876828285
66,1008.0,1018.3008738787216,-13.41948639044097,3.1186125117193377
67,1011.0,1018.3858172391807,-12.43670231938086,5.05088508020015
68,1012.0,1018.4707605996397,-12.562807137209605,6.09204653756993
69,1013.0,1018.5557039600986,-13.465023066149561,7.909319106050921
70,1014.0,1018.6406473205577,-13.256127883978344,8.615480563420626
71,1014.0,1018.7255906810167,-14.493621590696009,9.768030909679325
72,1017.0,1018.8105340414758,-12.176948630747022,10.36641458927126
73,1020.0,1018.8954774019347,-10.527775670797967,11.63229826886324
74,1021.0,1018.9804207623938,-7.435824933071246,9.45540417067744
75,1020.0,1019.0653641228528,-4.233596417566602,5.168232294713832
76,1021.0,1019.1503074833117,-0.586367902062134,2.4360604187503987
77,1022.0,1019.2352508437708,4.396971724553594,-1.6322225683244076
78,1025.0,1019.3201942042298,11.71808912894702,-6.038283333176798
79,1027.0,1019.4051375646889,18.152817644451638,-10.557955209140495
80,1029.0,1019.4900809251478,24.588379493289466,-15.078460418437288
81,1031.0,1019.5750242856069,30.13644134212735,-18.71146562773425
82,1036.0,1019.6599676460659,33.46394763540969,-17.123915281475554
83,1039.0,1019.7449110065248,33.457842817580875,-14.202753824105706
84,1042.0,1019.8298543669839,30.4486824441965,-8.278536811180409
85,1047.0,1019.9147977274429,25.2111887374789,1.8740135350782268
86,1051.0,1019.999741087902,19.296750586316797,11.70350832578125
87,1050.0,1020.0846844483609,11.148145768488003,18.76716978315108
88,1049.0,1020.16962780882,3.3175965062147483,25.512775684965256
89,1045.0,1020.254571169279,-2.644063867169549,27.38949269789059
90,1043.0,1020.3395145297379,-7.517113129442784,30.177598599704858
91,1045.0,1020.424457890197,-9.526551280604892,34.10209339040789
92,1043.0,1020.509401250656,-10.117656098433692,32.60825484777772
93,1044.0,1020.594344611115,-9.73292758292913,33.13858297181408
94,1045.0,1020.679287971574,-8.922643511868984,33.24335554029497
95,1045.0,1020.764231332033,-9.121803885253286,33.35757255322031
96,1041.0,1020.849174692492,-9.428186480859928,29.579011788367872
97,1038.0,1020.934118052951,-10.717902409799779,27.783784356848756
98,1033.0,1021.0190614134101,-11.646229449850837,23.627168036440736
99,1026.0,1021.1040047738691,-13.984556489901836,18.88055171603277
100,1020.0,1022.5374999999998,-13.341494779400708,10.803994779400913
101,1014.0,1022.5449999999997,-14.319901647905711,5.774901647905979
102,1010.0,1022.5574999999997,-13.853586294188572,1.2960862941889086
103,1006.0,1022.5824999999996,-13.943937607138048,-2.6385623928615924
104,1005.0,1022.6274999999997,-12.701511142309798,-4.925988857689916
105,1008.0,1022.6824999999998,-12.458806899703712,-2.2236931002960656
106,1008.0,1022.7399999999999,-11.66138043487541,-3.0786195651244856
107,1009.0,1022.8,-11.088120636713855,-2.7118793632860996
108,1007.0,1022.8525000000001,-10.51624972744108,-5.336250272558997
109,1006.0,1022.8950000000002,-10.722434373723992,-6.172565626276217
110,1005.0,1022.9450000000003,-9.595563464451255,-8.349436535549023
111,1002.0,1022.9900000000002,-9.690081444067463,-11.299918555932774
112,1000.0,1023.0150000000003,-8.670988312572494,-14.344011687427834
113,999.0,1023.0325000000003,-8.872172958855273,-15.160327041144981
114,997.0,1023.0475000000004,-9.40613538291583,-16.641364617084527
115,997.0,1023.0725000000002,-9.385097806976423,-16.687402193023793
116,996.0,1023.1125000000003,-9.032949119925906,-18.07955088007439
117,999.0,1023.1675000000001,-8.683300432875416,-15.484199567124715
118,999.0,1023.2350000000001,-7.335596190269337,-16.899403809730792
119,1001.0,1023.3000000000002,-5.434280836552215,-16.865719163447967
120,998.0,1023.3550000000002,-2.645187705057251,-22.709812294942996
121,1000.0,1023.4075000000001,2.1430720931043608,-25.550572093104503
122,999.0,1023.4700000000003,7.374943002377078,-31.844943002377335
123,996.0,1023.5375000000001,12.94098057831652,-40.478480578316656
124,993.0,1023.6050000000001,17.286740376478058,-47.89174037647819
125,997.0,1023.6825000000002,23.522777952417513,-50.205277952417745
126,1010.0,1023.7750000000002,28.092704417245777,-41.86770441724598
127,1029.0,1023.8925,30.55096421540746,-25.443464215407502
128,1062.0,1024.03,31.451168458013548,6.518831541986479
129,1103.0,1024.1675,30.571372700619577,48.261127299380405
130,1151.0,1024.3024999999998,27.24629916544788,99.45120083455234
131,1204.0,1024.4449999999997,25.142614519165043,154.41238548083524
132,1260.0,1024.5899999999997,23.48337431732665,211.92662568267366
133,1307.0,1024.7199999999998,22.15774522659938,260.1222547734008
134,1343.0,1024.84,23.276838358094373,294.8831616419057
135,1356.0,1024.9499999999998,22.953153711811517,308.09684628818866
136,1339.0,1025.0449999999998,21.7419690655287,292.2130309344715
137,1298.0,1025.1374999999998,17.309395530356973,255.55310446964322
138,1237.0,1025.2299999999998,11.210155328518576,200.55984467148164
139,1168.0,1025.3224999999998,4.776192904457979,137.90130709554225
140,1100.0,1025.4199999999996,-1.881102852935951,76.46110285293634
141,1046.0,1025.5249999999996,-8.094787499218787,28.569787499219153
142,1006.0,1025.6349999999998,-12.864583256612761,-6.770416743387003
143,987.0,1025.7449999999997,-14.191045680673373,-24.55395431932629
144,978.0,1025.8424999999997,-16.517785882511717,-31.32471411748803
145,983.0,1025.9324999999997,-14.621470528794518,-28.311029471205146
146,991.0,1026.0199999999998,-13.39071073063286,-21.629289269366893
147,1000.0,1026.1,-12.269950932471291,-13.830049067528618
148,1002.0,1026.1824999999997,-12.148357800976257,-12.034142199023407
149,999.0,1026.2649999999999,-12.471209113925754,-14.793790886074119
150,996.0,1026.3474999999999,-12.239615982430758,-18.1078840175691
151,993.0,1026.44,-12.67663396204699,-20.763366037953062
152,990.0,1026.5375,-13.003651941663158,-23.53384805833675
153,987.0,1026.6299999999999,-10.998169921279281,-28.6318300787206
154,986.0,1026.7175,-9.326854567562076,-31.390645432437896
155,988.0,1026.8025,-5.98970588051162,-32.81279411948839
156,989.0,1026.8825,-1.9878349712388568,-35.89466502876108
157,993.0,1026.9574999999998,3.0132026047005542,-36.97070260470031
158,988.0,1027.0349999999999,9.01340684730659,-48.048406847306445
159,988.0,1027.1125,16.67999997880152,-55.79249997880147
160,988.0,1027.19,25.236315332518714,-64.42631533251877
161,986.0,1027.2675,34.46068624179146,-75.72818624179138
162,983.0,1027.35,42.907557151064196,-87.2575571510641
163,980.0,1027.4399999999998,47.90942806033696,-95.34942806033678
164,981.0,1027.5375,49.466854525165225,-96.00435452516513
165,986.0,1027.6525,48.68928098999347,-90.3417809899934
166,990.0,1027.7775,44.79892967704393,-82.57642967704385
167,993.0,1027.8874999999998,38.130522808538906,-73.01802280853872
168,994.0,1027.9799999999998,28.573504828922758,-62.55350482892255
169,994.0,1028.06,17.350931293750982,-51.41093129375093
170,990.0,1028.1425,5.9078022030237545,-44.05030220302368
171,989.0,1028.2374999999997,-3.421715776592367,-35.81578422340736
172,991.0,1028.33,-10.41567820065301,-26.914321799346915
173,989.0,1028.4074999999998,-15.741029513602438,-23.666470486397362
174,986.0,1028.475,-19.509436382107438,-22.96556361789247
175,986.0,1028.5499999999997,-20.05589880616803,-22.494101193831696
176,987.0,1028.6249999999998,-20.824305674673106,-20.800694325326667
177,993.0,1028.6924999999999,-20.7027125431781,-14.98978745682178
178,996.0,1028.7524999999996,-20.691397189460915,-12.061102810538685
179,998.0,1028.7949999999996,-18.902304057965978,-11.89269594203364
